keyword,url,priority
District Zouk Drop-in Classes & Practica,https://www.districtzouk.com/pages/monday-drop-ins,1
District Zouk Progressive Zouk & Lambada Classes,https://www.districtzouk.com/pages/progressive-classes-for-brazilian-zouk,1
La Cosecha Social,https://www.tickettailor.com/events/brazilianzoukpopupsocial,1
Born 2 Dance Brazilian Zouk & Lambada with Iago & Vanessa,https://justgo.dance/iago-vanessa-weeklyclasses,1
hart of zouk,https://www.instagram.com/hartofzouk/,1
zouk heat,https://zoukheat.com/,2
zouk fire,https://zoukheat.com/,2
Brazilian Zouk in the Elements,https://www.facebook.com/profile.php?id=61566755832932,2
District Zouk,https://www.districtzouk.com/pages/socials-and-events,3
BZ,https://www.bachazouk.com/,3
DZ,https://www.districtzouk.com/pages/socials-and-events,4
